split,AUC-PR,AUC-ROC,FAR,FRR,HTER,EER,thr_from_hm
ERnerf_1vid,1.0,1.0,0.0,0.092,0.046,nan,0.1521105170249939
ERnerf_5vid,1.0,1.0,0.0,0.092,0.046,nan,0.1521105170249939
ERnerf_10vid,0.9998277757029619,0.9998239999999999,0.0,0.092,0.046,nan,0.1521105170249939
ERnerf_15vid,0.99998406374502,0.999984,0.0,0.092,0.046,nan,0.1521105170249939
mimic_1vid,1.0,1.0,0.0,0.092,0.046,nan,0.1521105170249939
mimic_5vid,1.0,1.0,0.0,0.092,0.046,nan,0.1521105170249939
mimic_10vid,1.0,1.0,0.0,0.092,0.046,nan,0.1521105170249939
mimic_15vid,1.0,1.0,0.0,0.092,0.046,nan,0.1521105170249939
talklip,1.0,1.0,0.0,0.092,0.046,nan,0.1521105170249939
wav2lip,0.9982917544509149,0.998016129032258,0.008064516129032258,0.092,0.050032258064516125,nan,0.1521105170249939
IP_LAP,1.0,1.0,0.0,0.092,0.046,nan,0.1521105170249939
fom,0.994388899120428,0.9936451612903227,0.016129032258064516,0.092,0.05406451612903226,nan,0.1521105170249939
simswap,1.0,1.0,0.0,0.092,0.046,nan,0.1521105170249939
anomal_hm,0.9763331283396366,0.9638266666666667,0.09666666666666666,0.092,0.09433333333333332,0.09266666666666669,0.1521105170249939
overall,0.9998438594926522,0.9971127753303966,0.007709251101321586,0.092,0.049854625550660794,0.09266666666666669,0.1521105170249939

pt_1vid,0.5105734362863281,0.5887519999999999,0.984,0.1,0.542,nan,0.6584315896034241
pt_5vid,0.6433301842032446,0.741552,0.864,0.1,0.482,nan,0.6584315896034241
pt_10vid,0.7438474326682153,0.8317760000000001,0.684,0.1,0.392,nan,0.6584315896034241
pt_15vid,0.8355907752503255,0.889504,0.416,0.1,0.258,nan,0.6584315896034241
ERnerf_1vid,0.8175600692502731,0.8718400000000001,0.54,0.1,0.32,nan,0.6584315896034241
ERnerf_5vid,0.671455212688196,0.743344,0.768,0.1,0.434,nan,0.6584315896034241
ERnerf_10vid,0.5157742379063583,0.598368,0.956,0.1,0.528,nan,0.6584315896034241
ERnerf_15vid,0.6029899730085772,0.6963520000000001,0.872,0.1,0.486,nan,0.6584315896034241
mimic_1vid,0.9434980949441749,0.948512,0.264,0.1,0.182,nan,0.6584315896034241
mimic_5vid,0.9220153056240814,0.923776,0.36,0.1,0.22999999999999998,nan,0.6584315896034241
mimic_10vid,0.9570322835634693,0.955664,0.216,0.1,0.158,nan,0.6584315896034241
mimic_15vid,0.9624210099486104,0.962496,0.156,0.1,0.128,nan,0.6584315896034241
talklip,1.0,1.0,0.0,0.1,0.05,nan,0.6584315896034241
wav2lip,0.9980009397649814,0.9981612903225806,0.0,0.1,0.05,nan,0.6584315896034241
IP_LAP,1.0,1.0,0.0,0.1,0.05,nan,0.6584315896034241
fom,0.9353786578303249,0.9258064516129032,0.25806451612903225,0.1,0.17903225806451611,nan,0.6584315896034241
simswap,0.984774817915001,0.9850483870967741,0.03225806451612903,0.1,0.06612903225806452,nan,0.6584315896034241
anomal_hm,0.9809757019385783,0.9752266666666667,0.1,0.1,0.1,0.09999999999999999,0.6584315896034241
overall,0.9912990146204314,0.8696008810572688,0.4123348017621145,0.1,0.25616740088105727,0.09999999999999999,0.6584315896034241

pt_1vid,0.8618045034814339,0.911728,0.752,0.036,0.394,nan,0.4048745036125183
pt_5vid,0.9680258860275708,0.9747680000000001,0.232,0.036,0.134,nan,0.4048745036125183
pt_10vid,0.9204939349704861,0.942272,0.504,0.036,0.27,nan,0.4048745036125183
pt_15vid,0.9721417581885801,0.977344,0.144,0.036,0.09,nan,0.4048745036125183
ERnerf_1vid,0.9871985761282085,0.990048,0.036,0.036,0.036,nan,0.4048745036125183
ERnerf_5vid,0.9523536027903836,0.966768,0.288,0.036,0.16199999999999998,nan,0.4048745036125183
ERnerf_10vid,0.9976572970078363,0.99776,0.0,0.036,0.018,nan,0.4048745036125183
ERnerf_15vid,0.9974248681853335,0.997536,0.012,0.036,0.024,nan,0.4048745036125183
mimic_1vid,1.0,1.0,0.0,0.036,0.018,nan,0.4048745036125183
mimic_5vid,1.0,1.0,0.0,0.036,0.018,nan,0.4048745036125183
mimic_10vid,1.0,1.0,0.0,0.036,0.018,nan,0.4048745036125183
mimic_15vid,1.0,1.0,0.0,0.036,0.018,nan,0.4048745036125183
talklip,1.0,1.0,0.0,0.036,0.018,nan,0.4048745036125183
wav2lip,1.0,1.0,0.0,0.036,0.018,nan,0.4048745036125183
IP_LAP,1.0,1.0,0.0,0.036,0.018,nan,0.4048745036125183
fom,0.9979315115946684,0.9978548387096773,0.012096774193548387,0.036,0.02404838709677419,nan,0.4048745036125183
simswap,1.0,1.0,0.0,0.036,0.018,nan,0.4048745036125183
anomal_hm,0.9937100226161751,0.9916266666666668,0.043333333333333335,0.036,0.03966666666666667,0.03966666666666667,0.4048745036125183
overall,0.9991719171578245,0.986015859030837,0.11189427312775331,0.036,0.07394713656387665,0.03966666666666667,0.4048745036125183
